datetime,totalFare,avgFare,totalTip,avgTip
2013-02-17,5821716.36,11.500618045115754,576252.999999992,1.1383697247579398
2013-02-15,6574196.13,12.239510676206274,710729.9899999684,1.323201670362182
2013-08-10,5446122.81,12.237460727984415,535200.269999994,1.202597244723459
2013-12-26,3881332.75,12.057760294505972,345378.1799999966,1.0729529194302385
2013-10-04,6591391.170000001,12.652952602713958,750139.1599999897,1.4399805734666373
2013-01-09,5263068.159999998,11.504703380104965,591758.7399999863,1.2935437218970958
2013-03-27,5821145.740000001,11.956680435367558,649079.1599999735,1.3332138448360664
2013-02-18,4824330.82,11.850364575145418,516527.3899999925,1.2687848559581643
2013-08-24,5551062.1000000015,12.377198427616165,541534.2999999874,1.2074585666155784
2013-10-05,6420016.279999999,11.923275735266804,662046.2899999782,1.2295545869207904
2013-08-05,5080388.700000003,12.501571681677255,557157.0999999961,1.3710249028003252
2013-08-14,5697051.25,12.443242006539359,649201.6099999935,1.4179568323639185
2013-04-13,6500137.21,11.70736037016091,648793.9000000014,1.168539024311174
2013-11-12,5864442.0600000005,12.37257996527331,727257.3799999966,1.5343403511066689
2013-06-11,5905753.07,12.469707162885763,678430.8799999722,1.4324734379486246
2013-04-25,6612374.760000002,12.751072672366917,766808.439999989,1.4786866291020935
2013-04-26,6795139.640000001,12.606587274936691,749369.3499999894,1.3902569501776192
2013-06-20,6414081.19,12.839846640442804,741291.0799999619,1.483932538610059
2013-01-12,5768389.67,11.367875446614207,587623.8699999835,1.1580415585234258
2013-10-11,6713846.720000001,13.007020386654812,764338.1699999849,1.4807847980610784
2013-04-11,6567172.130000001,12.50399296656931,766133.8300000011,1.4587301554056906
2013-02-10,5487675.36,11.939800005221796,585529.1699999914,1.273964060990556
2013-06-29,6077527.779999999,12.387620751998009,609557.2699999928,1.2424401106370864
2013-08-13,5535948.120000001,12.303583363336935,628215.009999992,1.3962008996634974
2013-10-22,5774856.1400000015,12.371528152086826,692246.7199999924,1.4830066025973196
2013-07-03,5366038.339999998,12.328210032968418,566742.6899999894,1.302063547494031
2013-03-21,6148982.8900000015,12.176131409120345,654269.4299999912,1.2955753332158249
2013-12-10,5831335.86,12.187820531041517,729450.449999972,1.5245925435149146
2013-05-28,5637969.140000001,12.647169714820242,618068.6499999788,1.3864600741605981
2013-07-05,4060054.42,11.499811416950381,359793.7499999942,1.0190898559427004
2013-08-06,5455558.610000001,12.170794445064141,617731.0099999915,1.3780948354712583
2013-08-11,2606791.82,13.34045607840127,258681.07999999815,1.3238201683682513
2013-09-26,1.2607548240000002E7,12.998598064162259,1508723.0599999842,1.5555193027024858
2013-04-14,6139058.699999999,12.63945411421724,619580.8299999925,1.2756293519124584
2013-03-04,5546523.920000001,11.887335846597987,627466.7499999795,1.3447896551797602
2013-02-23,6581447.590000001,11.253954416120054,681300.3699999793,1.164990407173552
2013-10-12,6574923.86,12.545936519688285,670563.2699999951,1.2795348504392468
2013-12-19,6546362.909999999,13.19748747558116,803660.9599999931,1.620182932115116
2013-04-04,6556848.02,12.311248840571546,739226.9199999953,1.3879849790645624
2013-08-21,5689618.170000001,12.52999068446089,645279.249999994,1.421069525193785
